,open,high,low,close,volume
419,91.81,91.85,90.8,90.89,13217404
420,91.25,92.36,90.95,91.7,9815834
421,91.02,91.11,89.02,89.51,17031549
422,90.0,90.52,89.64,90.11,11845663
423,90.11,90.13,88.08,88.53,14592255
424,88.31,89.42,88.24,88.42,14242198
425,89.39,90.25,88.95,89.79,13219047
426,90.17,91.25,90.1,90.89,14003776
427,90.61,91.5,90.32,91.15,12485428
428,91.2,91.53,90.74,90.97,10562826
429,91.08,91.71,90.76,91.62,18171794
430,91.93,93.14,91.85,92.92,11318699
431,92.71,94.36,92.52,93.94,12626131
432,94.1,95.29,93.71,94.6,15311581
433,94.46,95.37,94.19,95.03,10851489
434,94.7,94.98,94.43,94.83,8358310
435,94.51,94.88,93.45,94.12,10463432
436,93.78,94.03,93.34,93.7,9358111
437,94.97,95.72,94.58,95.18,15090226
438,95.59,95.88,94.91,95.38,10270398
439,95.3,95.52,95.02,95.51,11438412
440,95.77,96.88,95.46,96.84,13797213
441,96.83,97.43,96.77,97.35,9633452
442,97.3,97.44,96.28,96.36,12166633
443,96.0,97.4,95.55,97.09,14236219
444,97.55,97.64,96.47,96.92,10231853
445,96.96,97.07,96.14,96.41,7765100
446,96.45,97.18,96.24,97.13,10631527
447,96.83,97.01,96.14,96.84,14283617
448,97.3,97.5,95.62,95.99,18251616
449,95.48,96.71,94.96,95.86,13190576
450,96.34,97.95,96.34,97.84,12434009
451,98.07,98.18,97.32,97.62,10335687
452,98.15,98.55,97.63,97.99,10158626
453,97.19,98.2,97.09,98.11,9133863
454,99.28,99.89,98.73,99.51,15326608
455,99.51,99.99,99.24,99.34,9238624
456,99.88,101.19,99.76,100.92,13000801
457,101.25,101.45,100.19,101.02,14632741
458,101.35,102.42,101.32,101.74,13054361
459,101.43,102.23,101.05,101.77,10400446
460,101.13,101.93,100.87,101.41,8839456
461,101.37,101.7,100.57,100.61,8690197
462,101.1,101.7,100.73,100.92,8418239
463,100.87,101.77,100.16,101.59,8731788
464,101.1,101.53,100.73,101.41,7103513
465,101.34,101.69,100.66,100.78,8121544
466,100.56,100.75,98.25,98.75,18822583
467,98.27,98.37,97.15,97.64,18524671
468,97.12,98.22,96.81,97.63,13697785
469,97.81,98.34,97.5,97.51,9314009
470,96.69,98.05,96.62,97.86,9303072
471,97.34,97.78,96.85,97.27,11043772
472,96.39,98.74,95.95,98.19,15384080
473,98.53,99.06,98.31,98.47,9808033
474,97.82,98.41,97.57,98.14,9017866
475,98.45,99.14,97.76,99.01,9483200
476,99.5,99.55,98.91,98.93,13389407
477,99.03,99.52,98.59,98.64,7342248
478,98.83,98.9,98.26,98.32,3680043
479,98.31,99.13,97.93,97.93,13076207
480,98.21,101.7,97.97,101.36,16772956
481,102.41,104.22,101.96,103.73,21105546
482,104.74,106.66,104.04,104.52,23945890
483,104.9,105.32,102.2,104.79,19683510
484,107.73,108.4,106.77,106.95,23576608
485,107.17,107.41,104.12,105.72,17193948
486,105.41,105.76,104.53,104.93,15476226
487,103.95,105.19,103.73,104.62,13371781
488,105.08,105.94,104.34,105.93,13506869
489,105.72,106.06,105.31,105.62,10591228
490,105.92,107.37,105.54,106.85,15508840
491,106.7,107.11,105.48,105.51,15020293
492,106.12,106.45,104.64,104.66,13034232
493,105.79,106.52,105.2,106.14,29350598
494,107.19,107.63,106.48,106.96,12713148
495,107.35,107.49,106.44,106.51,12149937
496,107.6,107.73,106.09,106.14,13091473
497,106.59,108.07,106.56,107.83,12323670
498,108.2,108.46,106.81,107.45,14573385
499,107.2,107.99,106.4,107.02,7403739
500,106.67,107.29,106.67,107.22,9496548
501,107.4,107.84,107.16,107.79,7440555
502,108.09,108.28,106.94,106.94,8925701
503,107.63,108.02,106.81,107.95,13578835
504,107.86,108.49,107.48,108.06,11901037
505,108.36,110.03,108.2,109.04,12953656
506,109.26,109.55,107.78,108.34,14154974
507,108.15,108.68,107.7,108.5,12466512
508,108.72,109.63,108.49,109.05,13292310
509,109.47,110.7,109.39,110.25,15834468
510,110.67,110.93,110.05,110.84,13676788
511,111.65,112.85,110.84,112.67,18884229
512,111.51,113.43,111.07,112.27,22703336
513,111.89,113.3,111.31,112.99,14940266
514,112.76,113.72,112.27,113.26,14572911
515,113.94,114.34,112.8,113.01,18785468
516,112.66,114.39,112.5,114.33,12475654
517,113.67,114.64,113.35,114.21,12320751
518,114.86,116.0,114.66,115.67,15904504
519,116.04,116.17,115.08,115.7,13509957
520,115.7,116.32,114.96,116.32,13883875
521,116.02,117.35,116.02,116.2,11679919
522,115.53,116.6,114.98,115.11,14279124
523,115.65,116.66,115.16,115.67,13141423
524,115.77,116.98,115.48,116.87,13800613
525,116.49,116.92,114.09,114.28,16477307
526,113.0,114.59,103.98,108.8,30097591
527,106.85,112.48,106.61,112.11,33114833
528,111.55,114.45,111.15,112.87,21878324
529,113.11,113.11,107.84,107.88,27425837
530,109.1,111.05,106.23,110.04,28188027
531,111.17,112.72,110.07,111.74,18043325
532,111.32,113.05,110.8,112.43,16358181
533,112.63,115.27,112.53,115.03,15186858
534,115.74,115.98,114.22,115.51,12130197
535,114.55,116.07,114.5,114.68,13214253
536,114.65,115.39,113.97,114.71,13461495
537,115.0,117.45,114.67,115.19,14212461
538,115.5,116.42,114.76,114.98,17070356
539,115.31,117.39,115.31,117.31,12162523
540,118.14,118.9,117.32,118.77,16511229
541,118.91,119.33,117.35,117.36,17563345
542,117.82,118.49,115.34,115.5,17735637
543,115.48,116.64,112.65,113.43,18690017
544,112.39,113.56,111.12,113.32,18353697
545,112.05,115.92,111.89,115.06,13933039
546,115.64,115.82,114.32,115.16,10674360
547,113.75,115.1,113.11,114.73,13006514
548,115.11,115.23,113.21,114.74,11173721
549,116.55,118.08,115.67,118.04,15366583
550,118.0,118.75,117.25,117.66,12339295
551,118.2,118.47,115.83,116.25,13312340
552,116.56,116.59,114.6,114.95,12905124
553,115.87,116.0,114.83,115.24,8747977
554,115.34,116.6,115.34,115.44,19888948
555,115.1,115.45,113.3,114.53,13214919
556,114.87,115.44,114.44,114.64,9921175
557,114.81,116.63,114.21,114.74,13632983
558,113.2,113.6,109.54,109.95,22550426
559,110.27,110.92,106.76,107.01,23081509
560,109.19,111.16,108.64,110.31,20217469
561,111.07,111.69,107.3,108.17,18039921
562,108.28,109.17,106.65,108.0,19189269
563,108.5,110.78,107.78,109.97,13274639
564,109.96,110.73,106.08,107.85,18822525
565,108.36,109.5,107.26,109.33,14050737
566,107.1,111.21,107.02,110.99,15302608
567,111.63,112.83,111.39,111.88,16627035
568,110.55,111.55,107.82,109.09,18906018
569,110.01,112.98,109.89,110.4,15974349
570,112.13,112.87,111.42,112.51,14003640
571,111.66,111.81,110.52,110.62,14503294
572,111.56,114.39,111.5,113.37,16435523
573,115.02,115.15,109.05,110.3,39152760
574,110.94,111.47,109.79,110.21,16580538
575,111.37,111.92,109.99,110.21,15501350
576,110.53,111.07,108.89,109.32,16081436
577,109.53,111.87,109.5,111.72,17910955
578,112.3,112.74,110.88,111.47,15584384
579,111.57,111.95,110.63,110.93,11285831
580,111.75,112.9,109.59,110.41,16453112
581,110.27,110.53,108.6,109.99,13548246
582,109.97,110.82,109.34,110.1,10299488
583,109.55,110.16,109.13,109.4,9383967
584,109.75,110.3,108.75,108.78,13744860
585,108.45,108.97,107.54,108.78,10503353
586,108.11,109.49,107.73,107.92,12162086
587,107.59,107.77,105.18,107.24,15379091
588,106.43,108.74,105.98,108.43,11967906
589,108.76,109.68,108.36,109.37,9356721
590,109.53,111.34,109.28,110.99,12543228
591,111.44,113.64,111.03,113.41,11368094
592,113.19,114.44,112.75,114.29,9159709
593,114.49,114.73,113.67,113.86,10253045
594,114.11,114.7,113.74,113.9,8710654
595,113.91,113.91,112.57,113.03,11536212
596,112.89,113.69,112.63,113.34,7571089
597,113.2,113.41,112.2,112.96,8617204
598,112.75,112.8,110.84,111.13,11806349
599,112.05,112.54,111.92,112.15,9441931
600,112.35,114.29,112.29,113.01,11507550
601,112.51,112.77,111.12,112.49,11453916
602,112.14,112.15,110.11,111.23,14084769
603,110.46,111.08,110.19,110.66,8283548
604,109.18,109.2,104.95,105.93,30643840
605,107.64,108.6,106.65,108.35,17490845
606,107.95,108.19,106.42,107.01,19808203
607,108.34,108.94,107.8,108.4,13594185
608,108.99,109.25,108.27,108.45,9415437
609,108.24,108.31,107.07,107.84,10415231
610,108.66,110.74,108.48,110.36,15453563
611,111.18,111.5,110.03,110.8,13444427
612,110.62,111.14,110.06,111.11,10383168
613,111.12,111.91,110.77,110.83,12642897
614,111.14,111.53,109.52,110.19,15294082
615,110.46,111.44,109.58,109.97,14979749
616,110.28,110.36,107.78,108.03,20487343
617,107.8,108.38,106.27,107.9,26028572
618,107.26,108.4,106.69,108.18,9786825
619,106.9,107.88,106.6,107.55,12707154
620,108.18,108.64,107.44,107.54,8876903
621,107.1,108.21,106.53,107.51,11048735
622,108.16,108.37,105.51,105.75,19938788
623,105.66,105.7,103.96,104.79,16907607
624,104.71,105.21,103.11,104.86,17086772
625,104.68,105.92,103.23,103.24,16276833
626,103.68,105.46,103.51,104.93,14491252
627,106.68,106.9,104.15,104.2,18972393
628,103.72,105.09,103.38,105.08,11130044
629,105.41,105.78,103.52,103.61,8311680
630,104.13,104.38,103.53,103.72,10723412
631,103.12,104.5,102.2,104.06,12173700
632,104.71,107.46,104.71,107.28,13900793
633,108.02,108.4,106.53,106.62,14575873
