,average,changeOverTime,close,date,high,label,low,marketAverage,marketChangeOverTime,marketClose,marketHigh,marketLow,marketNotional,marketNumberOfTrades,marketOpen,marketVolume,notional,numberOfTrades,open,volume
2019-04-12 09:56:00,129.124,0.010162331312341032,129.1,20190412,129.3,09:56 AM,129.0,129.12,0.009743966717237354,129.04,129.3,129.0,29955565.8794,1277,129.08,231998,1718900.72,121,129.06,13312
2019-04-12 09:57:00,128.902,0.008425581850185675,128.72,20190412,129.02,09:57 AM,128.7,128.86,0.007710715235309903,128.72,129.03,128.69,45288435.3536,1750,129.03,351454,3154755.29,114,129.02,24474
2019-04-12 09:58:00,128.655,0.0064932524936436396,128.59,20190412,128.75,09:58 AM,128.55,128.655,0.0061075746437900275,128.59,128.76,128.54,44620639.565,1640,128.72,346825,2639108.67,157,128.73,20513
2019-04-12 09:59:00,128.546,0.005640524154116874,128.585,20190412,128.67,09:59 AM,128.43,128.531,0.005137870090870785,128.57,128.7,128.32,43776780.2758,1649,128.57,340592,1235199.2,89,128.57,9609
2019-04-12 10:00:00,128.666,0.006579307647173824,128.54,20190412,128.9,10 AM,128.47,128.664,0.006177956425856641,128.54,128.965,128.44,35537089.5563,1440,128.54,276200,3232087.75,119,128.56,25120
2019-04-12 10:01:00,128.541,0.005601408175239538,128.65,20190412,128.73,10:01 AM,128.375,128.517,0.005028387318766917,128.68,128.75,128.31,36693066.7599,1561,128.54,285511,1829906.41,114,128.52,14236
2019-04-12 10:02:00,128.293,0.0036612556229219913,128.12,20190412,128.69,10:02 AM,128.12,128.247,0.002916933856765401,128.144,128.69,128.07,38212722.4826,1627,128.67,297961,1199671.22,77,128.65,9351
2019-04-12 10:03:00,128.142,0.0024799530608252927,128.0,20190412,128.27,10:03 AM,128.0,128.127,0.00197851009587574,128.06,128.28,128.0,49105196.649,2057,128.13,383255,912374.51,77,128.17,7120
2019-04-12 10:04:00,127.978,0.0011969489536474993,127.87,20190412,128.12,10:04 AM,127.8,127.96,0.0006725370286375536,127.85,128.15,127.8,34572941.4572,1532,128.06,270186,1884096.515,101,128.06,14722
2019-04-12 10:05:00,128.078,0.001979268531194994,128.28,20190412,128.28,10:05 AM,127.895,128.083,0.0016344213835494564,128.337,128.34,127.83,29869464.5634,1127,127.86,233204,946622.55,84,127.91,7391
2019-04-12 10:06:00,128.168,0.002683356150987706,128.15,20190412,128.36,10:06 AM,128.04,128.153,0.0021818352440683515,128.116,128.37,128.03,25739095.1032,986,128.34,200847,664038.91,48,128.36,5181
2019-04-12 10:07:00,128.25,0.003324858204576547,128.38,20190412,128.38,10:07 AM,128.095,128.263,0.0030420570248839486,128.375,128.4,128.08,18045917.0959,799,128.11,140695,1102311.155,77,128.11,8595
2019-04-12 10:08:00,128.632,0.006313318990807761,128.61,20190412,128.835,10:08 AM,128.39,128.646,0.006037192861723191,128.65,128.845,128.39,39293226.0649,1524,128.39,305436,952524.12,91,128.39,7405
2019-04-12 10:09:00,128.672,0.006626246821826671,128.675,20190412,128.74,10:09 AM,128.6,128.665,0.006185776623864092,128.66,128.77,128.6,18306043.9914,713,128.67,142277,918716.445,71,128.68,7140
2019-04-12 10:10:00,128.651,0.006461959710541816,128.63,20190412,128.7,10:10 AM,128.59,128.648,0.0060528332577380935,128.6,128.7,128.57,19601331.4761,848,128.667,152364,754023.98,64,128.66,5861
2019-04-12 10:11:00,128.502,0.005296303539996141,128.39,20190412,128.7,10:11 AM,128.31,128.506,0.0049423651406854015,128.39,128.7,128.3,29546516.9179,1190,128.6,229924,1831929.125,91,128.6,14256
2019-04-12 10:12:00,128.214,0.0030432231566594626,128.16,20190412,128.37,10:12 AM,128.07,128.189,0.0024633623723352496,128.16,128.39,128.07,23278899.5828,1010,128.39,181598,1649479.93,104,128.37,12865
2019-04-12 10:13:00,128.084,0.0020262077058478415,128.18,20190412,128.18,10:13 AM,127.98,128.062,0.0014701972253938769,128.179,128.18,127.96,23228272.5674,1044,128.14,181383,1944318.015,102,128.135,15180
2019-04-12 10:14:00,128.05,0.00176021904948178,128.14,20190412,128.16,10:14 AM,127.98,128.047,0.001352894255282558,128.17,128.17,127.96,23317719.4265,988,128.16,182103,2102973.165,124,128.155,16423
2019-04-12 10:15:00,128.078,0.001979268531194994,128.01,20190412,128.21,10:15 AM,127.99,128.045,0.0013372538592676562,128.02,128.24,127.98,40934163.0602,1254,128.19,319685,1288077.86,118,128.195,10057
2019-04-12 10:16:00,127.876,0.00039898298454920343,127.605,20190412,128.19,10:16 AM,127.58,127.885,8.602217808162637e-05,127.618,128.2,127.56,44376469.1497,1835,128.011,347002,1879651.345,153,128.0,14699
2019-04-12 10:17:00,127.537,-0.002253080383336567,127.46,20190412,127.64,10:17 AM,127.44,127.541,-0.002604125936468699,127.449,127.64,127.41,33678408.6503,1379,127.61,264060,1809364.985,144,127.61,14187
2019-04-12 10:18:00,127.418,-0.0031840406806180046,127.38,20190412,127.54,10:18 AM,127.34,127.416,-0.0035816506873953924,127.362,127.55,127.34,22583931.9649,1012,127.47,177245,998449.05,121,127.49,7836
2019-04-12 10:19:00,127.214,-0.004779972618814818,127.16,20190412,127.37,10:19 AM,127.15,127.228,-0.005051847912789158,127.16,127.39,127.14,29598591.0981,922,127.37,232643,1233208.805,108,127.37,9694
2019-04-12 10:20:00,127.361,-0.0036299628398200555,127.525,20190412,127.54,10:20 AM,127.16,127.342,-0.00416034533994398,127.537,127.54,127.157,29343027.5518,1142,127.17,230427,4053401.98,181,127.16,31826
